"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Stellar Burgers API","0","Создание заказа","6","0","","0"
"0","Stellar Burgers API","0","Создание пользователя","5","0","","0"
"0","Stellar Burgers API","0","Логин пользователя","2","0","","0"
"0","Stellar Burgers API","0","Список заказов","1","0","","0"
